Algorithm,Partition,Accuracy,F1 Score,Loss,Rounds/Epochs,Parameters,Model Size (KB),Time (s)
Centralized,N/A,0.975,0.9747176504903688,0.1306630061876095,50,17226,134.578125,0.35286688804626465
FedSGD,IID,0.9611111111111111,0.9607206394853672,0.16092972474200665,50,17226,134.578125,0.24410796165466309
FedSGD,Non-IID,0.9583333333333334,0.9581775939612691,0.1514339814630664,50,17226,134.578125,0.1859729290008545
"FedAvg (E=1, B=10)",IID,0.9722222222222222,0.972045981772991,0.1377054661509018,50,17226,134.578125,0.31678056716918945
"FedAvg (E=1, B=10)",Non-IID,0.9555555555555556,0.9548756893971936,0.20119610149003544,50,17226,134.578125,0.31955933570861816
"FedAvg (E=5, B=10)",IID,0.9722222222222222,0.9721595551462594,0.15626088889870324,50,17226,134.578125,1.1809239387512207
"FedAvg (E=5, B=10)",Non-IID,0.9527777777777777,0.9518183259621616,0.2161322374235102,50,17226,134.578125,1.1950039863586426
"FedAvg (E=10, B=10)",IID,0.975,0.9749020068121145,0.16040437381085607,50,17226,134.578125,2.2209510803222656
"FedAvg (E=10, B=10)",Non-IID,0.9444444444444444,0.9409495553354825,0.30944104965800856,50,17226,134.578125,2.2718594074249268
"FedAvg (E=5, B=inf)",IID,0.9638888888888889,0.9636502143327501,0.16909678095532027,50,17226,134.578125,0.5036940574645996
"FedAvg (E=5, B=inf)",Non-IID,0.9361111111111111,0.9341734334733095,0.2400723267042429,50,17226,134.578125,0.4502866268157959
Edge FedAvg,IID,0.9777777777777777,0.9778055174046703,0.15201579059245454,50,4546,35.515625,0.7606003284454346
Edge FedAvg,Non-IID,0.9527777777777777,0.9525960264574932,0.19849352568363443,50,4546,35.515625,0.7231860160827637
